instrument 9  start 13.00062  duration 0.25002  amplitude 38  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 13.00062  duration 0.75008  amplitude 38  pitch 68.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 13.00062  duration 0.75008  amplitude 38  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 13.00062  duration 0.75008  amplitude 38  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 13.00062  duration 0.75008  amplitude 38  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 13.00062  duration 0.75008  amplitude 38  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 13.00062  duration 0.75008  amplitude 38  pitch 70.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 13.00062  duration 0.25002  amplitude 38  pitch 72.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 13.75070  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 13.75070  duration 0.00000  amplitude 39  pitch 64.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 13.76319  duration 0.00000  amplitude 39  pitch 66.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 14.00067  duration 0.00000  amplitude 39  pitch 64.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 14.01317  duration 0.00000  amplitude 39  pitch 66.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 14.25065  duration 0.00000  amplitude 39  pitch 64.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 14.51312  duration 0.00000  amplitude 39  pitch 64.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 14.51312  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 14.51312  duration 0.00000  amplitude 40  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 14.52562  duration 0.00000  amplitude 40  pitch 65.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 14.76314  duration 0.00000  amplitude 40  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 14.77565  duration 0.00000  amplitude 40  pitch 71.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 15.01317  duration 0.00000  amplitude 40  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 15.02567  duration 0.00000  amplitude 40  pitch 71.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 15.02567  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 15.02567  duration 0.01250  amplitude 41  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 15.02567  duration 0.01250  amplitude 41  pitch 65.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 15.03817  duration 0.00000  amplitude 0  pitch 5.01000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 15.03817  duration 0.00000  amplitude 42  pitch 65.00000  channel 0 ;   Player 1_70148393301380  
instrument 9  start 15.05067  duration 0.00000  amplitude 42  pitch 67.00000  channel 0 ;   Player 1_70148393301380  
